artifact_kind	path	exists	bytes	sidecar_path	sidecar_exists	sidecar_bytes	log_path	log_exists
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__numbers.json.gz	true	25831	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__numbers.json.syms.json	true	8937	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__numbers.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__random.json.gz	true	69021	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__random.json.syms.json	true	19329	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__random.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__twitter.json.gz	true	13751	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__twitter.json.syms.json	true	19981	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__twitter.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__unicode_basic.json.gz	true	78628	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__unicode_basic.json.syms.json	true	16864	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__unicode_basic.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__unicode_escapes.json.gz	true	34714	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__unicode_escapes.json.syms.json	true	15183	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__unicode_escapes.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__unicode_mixed.json.gz	true	54660	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__unicode_mixed.json.syms.json	true	22843	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__unicode_mixed.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__update_center.json.gz	true	23685	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__update_center.json.syms.json	true	16778	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__update_center.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__y_string_unicode.json.gz	true	89874	/tmp/skv15-p1/profiles-interactive/p1b/real_typed_track2__y_string_unicode.json.syms.json	true	12356	/tmp/skv15-p1/logs-interactive/p1b/real_typed_track2__y_string_unicode.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.gz	true	50400	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__apache_builds.json.syms.json	true	289298	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__apache_builds.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__canada.json.gz	true	50795	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__canada.json.syms.json	true	312153	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__canada.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__citm_catalog.json.gz	true	52156	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__citm_catalog.json.syms.json	true	314714	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__citm_catalog.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__distinct_values.json.gz	true	50939	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__distinct_values.json.syms.json	true	306433	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__distinct_values.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__github_events.json.gz	true	50882	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__github_events.json.syms.json	true	326469	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__github_events.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__gsoc-2018.json.gz	true	53320	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__gsoc-2018.json.syms.json	true	347308	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__gsoc-2018.log	true
interactive-samply-profile	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__instruments.json.gz	true	53167	/tmp/skv15-p1/profiles-interactive/p1c/mode3_json_probes__instruments.json.syms.json	true	298189	/tmp/skv15-p1/logs-interactive/p1c/mode3_json_probes__instruments.log	true
